="",="Coefficient (std. error)",="Proportion"
="Uses computer at work for any task",="0.136",="0.397"
="",="(0.012)",=""
="Specific Task",="",=""
="Word processing",="0.033",="0.165"
="",="(0.014)",=""
="Bookkeeping",="-0.051",="0.099"
="",="(0.015)",=""
="Computer-assisted design",="0.011",="0.036"
="",="(0.023)",=""
="Electronic mail",="0.125",="0.061"
="",="(0.019)",=""
="Inventory control",="-0.057",="0.103"
="",="(0.015)",=""
="Programming",="0.047",="0.076"
="",="(0.017)",=""
="Desktop publishing or newsletters",="-0.043",="0.035"
="",="(0.024)",=""
="Spread sheets",="0.085",="0.093"
="",="(0.017)",=""
="Sales",="0.014",="0.062"
="",="(0.018)",=""
="Computer games",="-0.083",="0.020"
="",="(0.029)",=""
="R-sq",="0.492",=""
