="Treatment Effect",="18.088",="",="87.825",="",="54.758",=""
="",="53.129",="",="53.992",="",="37.964",=""
="N",="690",="",="569",="",="1259",=""
="Treatment Effect",="-43.078",="",="81.658",="",="23.029",=""
="",="46.209",="",="56.417",="",="36.458",=""
="N",="683",="",="523",="",="1206",=""
="Treatment Effect",="-30.552",="",="206.073",="",="89.599",=""
="",="95.649",="",="106.421",="*",="71.777",=""
="N",="683",="",="520",="",="1203",=""
="Treatment Effect",="0.568",="",="0.379",="",="0.648",=""
="",="0.910",="",="0.802",="",="0.617",=""
="N",="690",="",="569",="",="1259",=""
="Treatment Effect",="-0.689",="",="0.676",="",="0.175",=""
="",="1.014",="",="0.967",="",="0.715",=""
="N",="683",="",="523",="",="1206",=""
="Treatment Effect",="-0.166",="",="0.804",="",="0.487",=""
="",="0.899",="",="0.813",="",="0.623",=""
="N",="683",="",="520",="",="1203",=""
