="Control Mean",="68.133",="71.003",="69.406",="70.657",="72.437",="71.359",="68.883",="71.371",="69.952"
="SD",="11.593",="8.400",="10.391",="10.915",="8.391",="10.016",="11.443",="8.410",="10.319"
="Treatment Effect",="0.424",="",="0.420",="",="0.461",="",="0.452",="",="-0.520",="",="-0.496",="",="0.236",="",="0.064",="",="0.076",=""
="",="0.945",="",="0.947",="",="0.662",="",="1.176",="",="1.067",="",="0.827",="",="0.740",="",="0.694",="",="0.515",=""
="N",="444",="",="374",="",="818",="",="246",="",="195",="",="441",="",="690",="",="569",="",="1259",=""
="Control Mean",="67.358",="71.150",="68.948",="68.834",="69.970",="69.281",="67.791",="70.830",="69.043"
="SD",="11.261",="9.015",="10.538",="11.183",="10.575",="10.939",="11.247",="9.462",="10.648"
="Treatment Effect",="-0.814",="",="-0.118",="",="-0.471",="",="-0.971",="",="2.536",="",="0.106",="",="-0.966",="",="0.727",="",="-0.225",=""
="",="1.156",="",="1.128",="",="0.801",="",="1.556",="",="1.414",="*",="1.030",="",="0.901",="",="0.901",="",="0.634",=""
="N",="441",="",="340",="",="781",="",="242",="",="183",="",="425",="",="683",="",="523",="",="1206",=""
="Control Mean",="67.855",="71.096",="69.214",="69.867",="71.453",="70.482",="68.445",="71.191",="69.572"
="SD",="10.674",="7.772",="9.691",="10.323",="8.593",="9.700",="10.602",="7.988",="9.704"
="Treatment Effect",="-0.323",="",="0.470",="",="0.076",="",="-0.233",="",="1.167",="",="-0.146",="",="-0.458",="",="0.614",="",="-0.025",=""
="",="0.958",="",="0.932",="",="0.662",="",="1.210",="",="1.093",="",="0.840",="",="0.745",="",="0.719",="",="0.522",=""
="N",="441",="",="339",="",="780",="",="242",="",="181",="",="423",="",="683",="",="520",="",="1203",=""
